paso,prof_m,lat_deg,lon_deg
0,0.494,-12.083333,-77.166664
1,1.5414,-12.083333,-77.166664
2,2.6457,-12.083333,-77.166664
3,3.8195,-12.083333,-77.166664
4,3.8195,-12.166667,-77.249992
5,2.6457,-12.25,-77.333328
6,1.5414,-12.25,-77.333328
7,0.494,-12.25,-77.333328
8,0.494,-12.166667,-77.416664
9,0.494,-12.083333,-77.416664
10,0.494,-12.0,-77.416664
11,0.494,-11.916667,-77.416664
12,0.494,-11.833333,-77.416664
13,0.494,-11.75,-77.416664
14,0.494,-11.666667,-77.416664
15,0.494,-11.583333,-77.499992
16,0.494,-11.5,-77.583328
17,0.494,-11.416667,-77.666664
18,0.494,-11.416667,-77.749992
19,0.494,-11.416667,-77.833328
20,0.494,-11.416667,-77.916664
21,0.494,-11.416667,-77.999992
22,0.494,-11.416667,-78.083328
23,0.494,-11.416667,-78.166664
24,1.5414,-11.416667,-78.166664
25,2.6457,-11.416667,-78.166664
26,3.8195,-11.416667,-78.166664
27,3.8195,-11.5,-78.083328
28,3.8195,-11.583333,-77.999992
29,2.6457,-11.666667,-77.916664
30,1.5414,-11.666667,-77.916664
31,0.494,-11.666667,-77.916664
32,1.5414,-11.666667,-77.999992
33,2.6457,-11.666667,-77.999992
34,1.5414,-11.75,-78.083328
35,0.494,-11.75,-78.083328
36,0.494,-11.833333,-78.166664
37,0.494,-11.916667,-78.249992
38,0.494,-12.0,-78.333328
39,0.494,-12.083333,-78.416664
40,0.494,-12.166667,-78.416664
41,1.5414,-12.25,-78.333328
42,2.6457,-12.25,-78.333328
43,3.8195,-12.333333,-78.249992
44,3.8195,-12.416667,-78.166664
45,2.6457,-12.5,-78.083328
46,1.5414,-12.5,-78.083328
47,0.494,-12.5,-78.083328
48,0.494,-12.583333,-77.999992
49,1.5414,-12.583333,-77.999992
50,2.6457,-12.583333,-77.999992
51,3.8195,-12.583333,-77.999992
52,3.8195,-12.666667,-77.916664
53,3.8195,-12.75,-77.833328
54,3.8195,-12.833333,-77.749992
55,3.8195,-12.916667,-77.666664
56,3.8195,-13.0,-77.583328
57,3.8195,-13.083333,-77.499992
58,3.8195,-13.083333,-77.416664
59,3.8195,-13.083333,-77.333328
60,3.8195,-13.083333,-77.249992
61,3.8195,-13.083333,-77.166664
62,3.8195,-13.083333,-77.083328
63,3.8195,-13.083333,-76.999992
64,3.8195,-13.083333,-76.916664
65,2.6457,-13.083333,-76.833328
66,1.5414,-13.083333,-76.833328
67,0.494,-13.083333,-76.833328
68,0.494,-13.0,-76.749992
69,0.494,-12.916667,-76.666664
70,0.494,-12.833333,-76.749992
71,0.494,-12.75,-76.833328
72,0.494,-12.666667,-76.916664
73,0.494,-12.583333,-76.916664
74,0.494,-12.5,-76.916664
75,0.494,-12.416667,-76.916664
76,0.494,-12.333333,-76.916664
77,0.494,-12.25,-76.999992
78,0.494,-12.166667,-77.083328
79,0.494,-12.083333,-77.166664
